Period,IDPROV,Province,Xcoord,Ycoord,IDDISTRICT,District,Event,Casualties,Injured,Missing,Affected,Displaced,House_HD,House_MD,House_SD,Flooded
January 2018,52,NUSA TENGGARA BARAT,117.50748,-8.60668,5203,LOMBOK TIMUR,Landslide,1,,,0,,,,,
January 2018,51,BALI,115.13213,-8.36978,5107,KARANGASEM,Volcano Eruption,,,,53207,53207,,,,
January 2018,33,JAWA TENGAH,110.20062,-7.25939,3301,CILACAP,Whirlwind,,,,4,4,1,,,
January 2018,36,BANTEN,106.10883,-6.45625,3604,SERANG,Whirlwind,,,,0,,,,1,
January 2018,33,JAWA TENGAH,110.20062,-7.25939,3302,BANYUMAS,Whirlwind,,,,0,,23,23,13,
January 2018,51,BALI,115.13213,-8.36978,5108,BULELENG,Whirlwind,,,,0,,2,1,,
January 2018,35,JAWA TIMUR,112.59767,-7.94595,3527,SAMPANG,Flood,,,,0,,,,,3
January 2018,33,JAWA TENGAH,110.20062,-7.25939,3322,SEMARANG,Landslide,,,,60,60,,,,
January 2018,35,JAWA TIMUR,112.59767,-7.94595,3518,NGANJUK,Landslide,,,,10,,,,2,
January 2018,75,GORONTALO,122.37605,0.68682,7501,BOALEMO,Flood,,,,2877,,,,,465
January 2018,63,KALIMANTAN SELATAN,115.44063,-3.01217,6301,TANAH LAUT,Whirlwind,,,,5,,1,,5,
January 2018,35,JAWA TIMUR,112.59767,-7.94595,3503,TRENGGALEK,Flood,,,,0,,,,,
January 2018,63,KALIMANTAN SELATAN,115.44063,-3.01217,6303,BANJAR,Whirlwind,,,,84,,13,1,13,
January 2018,33,JAWA TENGAH,110.20062,-7.25939,3323,TEMANGGUNG,Whirlwind,,,,6,,,1,,
January 2018,36,BANTEN,106.10883,-6.45625,3604,SERANG,Whirlwind,,,,5,,,,1,
January 2018,33,JAWA TENGAH,110.20062,-7.25939,3312,WONOGIRI,Whirlwind,,1,,0,,1,,,
January 2018,33,JAWA TENGAH,110.20062,-7.25939,3312,WONOGIRI,Flood,,,,0,,,,,5
January 2018,21,KEPULAUAN RIAU,104.49169,1.02469,2105,KEPULAUAN ANAMBAS,Flood,2,,,0,,,,,
January 2018,52,NUSA TENGGARA BARAT,117.50748,-8.60668,5272,KOTA BIMA,Landslide,,,,35,,2,,5,
January 2018,52,NUSA TENGGARA BARAT,117.50748,-8.60668,5206,BIMA,Flood,,,,800,,,,,
January 2018,21,KEPULAUAN RIAU,104.49169,1.02469,2102,BINTAN,Flood,,,,0,,,,,
January 2018,35,JAWA TIMUR,112.59767,-7.94595,3501,PACITAN,Landslide,,11,,0,,,,,
January 2018,14,RIAU,101.80779,0.51272,1407,ROKAN HULU,Forest Fires,,,,0,,,,,
January 2018,14,RIAU,101.80779,0.51272,1410,KEPULAUAN MERANTI,Forest Fires,,,,0,,,,,
January 2018,14,RIAU,101.80779,0.51272,1471,KOTA PEKANBARU,Forest Fires,,,,0,,,,,
January 2018,14,RIAU,101.80779,0.51272,1406,KAMPAR,Forest Fires,,,,0,,,,,
January 2018,14,RIAU,101.80779,0.51272,1404,PELALAWAN,Forest Fires,,,,0,,,,,
January 2018,14,RIAU,101.80779,0.51272,1402,INDRAGIRI HULU,Forest Fires,,,,0,,,,,
January 2018,14,RIAU,101.80779,0.51272,1403,INDRAGIRI HILIR,Forest Fires,,,,0,,,,,
January 2018,32,JAWA BARAT,107.6028,-6.91998,3215,KARAWANG,Whirlwind,,,,0,,,17,,
January 2018,33,JAWA TENGAH,110.20062,-7.25939,3326,PEKALONGAN,Flood,,,,19801,76,,,,75
January 2018,63,KALIMANTAN SELATAN,115.44063,-3.01217,6303,BANJAR,Whirlwind,,,,0,,5,,5,
January 2018,51,BALI,115.13213,-8.36978,5107,KARANGASEM,Volcano Eruption,,,,0,,,,,
January 2018,35,JAWA TIMUR,112.59767,-7.94595,3501,PACITAN,Landslide,,,,0,,,,2,
January 2018,35,JAWA TIMUR,112.59767,-7.94595,3513,PROBOLINGGO,Whirlwind,,,,0,,,3,,
January 2018,33,JAWA TENGAH,110.20062,-7.25939,3312,WONOGIRI,Landslide,,,,0,,,,2,
January 2018,73,SULAWESI SELATAN,119.96738,-4.7654,7302,BULUKUMBA,Whirlwind,,1,,0,,2,,3,
January 2018,35,JAWA TIMUR,112.59767,-7.94595,3517,JOMBANG,Whirlwind,2,,,0,,7,,53,
January 2018,35,JAWA TIMUR,112.59767,-7.94595,3512,SITUBONDO,Whirlwind,,,,0,,,,,
January 2018,53,NUSA TENGGARA TIMUR,121.98602,-8.64997,5303,KUPANG,Flood,2,,,0,,,,,
January 2018,33,JAWA TENGAH,110.20062,-7.25939,3301,CILACAP,Whirlwind,,,,0,,,,2,
January 2018,32,JAWA BARAT,107.6028,-6.91998,3278,KOTA TASIKMALAYA,Flood,,,,4,,,1,,
January 2018,33,JAWA TENGAH,110.20062,-7.25939,3305,KEBUMEN,Whirlwind,,,,0,,,,1,
January 2018,74,SULAWESI TENGGARA,122.07208,-4.12542,7208,PARIGI MOUTONG,Whirlwind,,,,3,,1,,,
January 2018,35,JAWA TIMUR,112.59767,-7.94595,3513,PROBOLINGGO,Whirlwind,,1,,110,,10,12,,
January 2018,33,JAWA TENGAH,110.20062,-7.25939,3309,BOYOLALI,Whirlwind,,,,5,5,,1,,
January 2018,33,JAWA TENGAH,110.20062,-7.25939,3320,JEPARA,Whirlwind,,,,5,5,1,,,
January 2018,33,JAWA TENGAH,110.20062,-7.25939,3323,TEMANGGUNG,Whirlwind,,,,3,,,,,
January 2018,36,BANTEN,106.10883,-6.45625,3604,SERANG,Whirlwind,,,,0,,1,,3,
January 2018,12,SUMATERA UTARA,99.05314,2.19191,1211,KARO,Volcano Eruption,,,,0,,,,,
January 2018,35,JAWA TIMUR,112.59767,-7.94595,3501,PACITAN,Landslide,,,,5,5,1,,,
January 2018,33,JAWA TENGAH,110.20062,-7.25939,3308,MAGELANG,Landslide,,,,5,,,,1,
January 2018,35,JAWA TIMUR,112.59767,-7.94595,3573,KOTA MALANG,Landslide,,,,10,,,1,1,
January 2018,33,JAWA TENGAH,110.20062,-7.25939,3329,BREBES,Landslide,,,,5,,,1,,
January 2018,72,SULAWESI TENGAH,121.55683,-1.41749,7202,BANGGAI,High Tide/Abrasion,,,,0,,3,,4,
January 2018,32,JAWA BARAT,107.6028,-6.91998,3216,BEKASI,Whirlwind,,,,4,4,1,,,
January 2018,63,KALIMANTAN SELATAN,115.44063,-3.01217,6301,TANAH LAUT,Whirlwind,,,,27,6,2,,5,
January 2018,63,KALIMANTAN SELATAN,115.44063,-3.01217,6502,BULUNGAN,Flood,,,,1676,,,,,
January 2018,33,JAWA TENGAH,110.20062,-7.25939,3323,TEMANGGUNG,Whirlwind,,,,5,5,1,,,
January 2018,33,JAWA TENGAH,110.20062,-7.25939,3308,MAGELANG,Landslide,,,,12,,,,,
January 2018,35,JAWA TIMUR,112.59767,-7.94595,3507,MALANG,Whirlwind,,,,0,,,,7,
January 2018,35,JAWA TIMUR,112.59767,-7.94595,3579,KOTA BATU,Landslide,,,,5,,,1,,
January 2018,35,JAWA TIMUR,112.59767,-7.94595,3573,KOTA MALANG,Landslide,,,,0,,,1,,
January 2018,36,BANTEN,106.10883,-6.45625,3604,SERANG,Whirlwind,,,,6,,1,,,
January 2018,33,JAWA TENGAH,110.20062,-7.25939,3305,KEBUMEN,Whirlwind,,,,0,,,1,,
January 2018,35,JAWA TIMUR,112.59767,-7.94595,3501,PACITAN,Landslide,,,,0,,,,1,
January 2018,33,JAWA TENGAH,110.20062,-7.25939,3323,TEMANGGUNG,Whirlwind,,,,0,,,,1,
January 2018,35,JAWA TIMUR,112.59767,-7.94595,3509,JEMBER,Landslide,,,,2,2,,1,,
January 2018,51,BALI,115.13213,-8.36978,5107,KARANGASEM,Volcano Eruption,,,,0,,,,,
January 2018,35,JAWA TIMUR,112.59767,-7.94595,3503,TRENGGALEK,Whirlwind,,3,,0,,,1,,
January 2018,35,JAWA TIMUR,112.59767,-7.94595,3501,PACITAN,Whirlwind,,,,5,,1,,,
January 2018,75,GORONTALO,122.37605,0.68682,7502,GORONTALO,Flood,,,,4365,,,,,
January 2018,36,BANTEN,106.10883,-6.45625,3604,SERANG,Whirlwind,,,,0,,,,,
January 2018,32,JAWA BARAT,107.6028,-6.91998,3218,PANGANDARAN,Whirlwind,,,,0,,,,2,
January 2018,32,JAWA BARAT,107.6028,-6.91998,3218,PANGANDARAN,Whirlwind,,,,11,,,,2,
January 2018,36,BANTEN,106.10883,-6.45625,3604,SERANG,Whirlwind,,,,4,,,,1,
January 2018,33,JAWA TENGAH,110.20062,-7.25939,3305,KEBUMEN,Whirlwind,,,,0,,1,1,2,
January 2018,33,JAWA TENGAH,110.20062,-7.25939,3312,WONOGIRI,Landslide,,,,0,,,,,
January 2018,12,SUMATERA UTARA,99.05314,2.19191,1211,KARO,Volcano Eruption,,,,0,,,,,
January 2018,33,JAWA TENGAH,110.20062,-7.25939,3308,MAGELANG,Landslide,,,,12,,,1,1,
January 2018,52,NUSA TENGGARA BARAT,117.50748,-8.60668,5207,SUMBAWA BARAT,Whirlwind,,,,0,,,1,4,
January 2018,33,JAWA TENGAH,110.20062,-7.25939,3301,CILACAP,Whirlwind,,,,0,,,1,,
January 2018,52,NUSA TENGGARA BARAT,117.50748,-8.60668,5207,SUMBAWA BARAT,Whirlwind,,,,0,,1,5,,
January 2018,33,JAWA TENGAH,110.20062,-7.25939,3305,KEBUMEN,Whirlwind,,1,,35,,1,2,2,
